id,description
1,"Apple iPhone 15 128GB black smartphone, price 799 USD"
2,"Samsung Galaxy A55 256GB blue Android phone, cost 420 USD"
3,"Nike Air Max 90 men's sneakers white, price 135 USD"
4,"Adidas Ultraboost running shoes for women, price 180 USD"
5,"Sony WH-1000XM5 wireless noise cancelling headphones, price 349 USD"
6,"LG 27 inch gaming monitor 144Hz, price 260 USD"
7,"Dell Inspiron 15 laptop Intel i5 16GB RAM 512GB SSD, price 690 USD"
8,"Lenovo IdeaPad Slim 3 notebook Ryzen 5, price 540 USD"
9,"Xiaomi Redmi Note 13 Pro smartphone 256GB, price 310 USD"
10,"Puma Axis casual sneakers black, price 75 USD"
11,"Canon EOS R50 mirrorless camera kit, price 680 USD"
12,"HP LaserJet M110w compact printer, price 129 USD"
13,"Logitech MX Master 3S wireless mouse, price 99 USD"
14,"Razer BlackWidow V4 mechanical gaming keyboard, price 169 USD"
15,"Bosch Serie 4 washing machine 8kg, price 520 USD"
16,"Philips Airfryer XL kitchen appliance, price 160 USD"
17,"IKEA Markus office chair black, price 229 USD"
18,"Dyson V11 cordless vacuum cleaner, price 599 USD"
19,"GoPro Hero 12 action camera waterproof, price 399 USD"
20,"JBL Charge 5 portable bluetooth speaker, price 149 USD"
21,"Apple MacBook Air M2 13 inch 8GB 256GB, price 999 USD"
22,"Samsung 55 inch Crystal UHD Smart TV, price 480 USD"
23,"Asus TUF Gaming F15 laptop RTX 4060, price 1190 USD"
24,"Under Armour training hoodie grey, price 65 USD"
25,"Zara women's denim jacket blue, price 59 USD"
26,"H&M cotton basic t-shirt white, price 12 USD"
27,"Nintendo Switch OLED console white, price 349 USD"
28,"PlayStation 5 Slim digital edition, price 449 USD"
29,"Microsoft Xbox Series X console 1TB, price 499 USD"
30,"Bose QuietComfort Ultra earbuds, price 299 USD"
